"","Stream","Depth_Loc","Substrate","N_Type","n"
"1","BW","INT","biofilm","NH3",3
"2","BW","INT","biofilm","NO3",3
"3","BW","INT","sediment","NH3",3
"4","BW","INT","sediment","NO3",1
"5","BW","NS","sediment","NH3",3
"6","BW","NS","sediment","NO3",2
"7","BW","SL","sediment","NH3",3
"8","BW","SL","sediment","NO3",3
"9","GB","INT","biofilm","NH3",2
"10","GB","INT","biofilm","NO3",2
"11","GB","INT","sediment","NH3",2
"12","GB","NS","sediment","NH3",3
"13","GB","NS","sediment","NO3",3
"14","GB","SL","sediment","NH3",3
"15","GB","SL","sediment","NO3",3
"16","SH","NS","sediment","NH3",3
"17","SH","NS","sediment","NO3",3
"18","SS","NS","sediment","NH3",3
"19","SS","NS","sediment","NO3",2
